uid,username,password,uname,gender,age,location,joinedDate
99728,enc0re,enc0repass123,Enc,,,Berlin,2008-09-29
99736,Mdarky,Mdarkypass123,Mdarky,,,Toronto,2008-09-29
99738,entauri,entauripass123,Entauri,Male,35,São Paulo,2008-09-29
99789,Adapter15,Adapter15pass123,Adapter,,,Sydney,2008-09-29
99815,Tong,Tongpass123,Tong,,,Toronto,2008-09-29
99817,sys,syspass123,Sys,,,New York,2008-09-29
99824,uygarr,uygarrpass123,Uygarr,Male,46,Tokyo,2008-09-29
99832,nyu6669,nyu6669pass123,Nyu,Female,34,Sydney,2008-09-29
99866,ampz37,ampz37pass123,Ampz,,,Paris,2008-09-29
99874,VSilent,VSilentpass123,Vsilent,Male,30,Berlin,2008-09-29
99946,sunflower,sunflowerpass123,Sunflower,,,London,2008-09-29
99957,tKaSian,tKaSianpass123,Tkasian,Male,,New York,2008-09-29
100001,zerohour,zerohourpass123,Zerohour,Male,,Toronto,2008-09-29
100024,dgknight500,dgknight500pass123,Dgknight,Male,,London,2008-09-29
100036,GenoFox,GenoFoxpass123,Genofox,Male,36,Paris,2008-09-29
100067,Nyyppa,Nyyppapass123,Nyyppa,,,New York,2008-09-30
100076,Wildpokeman,Wildpokemanpass123,Wildpokeman,,,Berlin,2008-09-30
100085,Wonder,Wonderpass123,Wonder,Male,38,São Paulo,2008-09-30
100091,Maledictory,Maledictorypass123,Maledictory,,,Toronto,2008-09-30
100128,mm-megan,mm-meganpass123,Mm,Female,,Toronto,2008-09-30
100142,Bluestar41269,Bluestar41269pass123,Bluestar,,,Berlin,2008-09-30
100162,Kotorine-Rin,Kotorine-Rinpass123,Kotorine,Male,34,Toronto,2008-09-30
100195,Nymia-san,Nymia-sanpass123,Nymia,Female,34,London,2008-09-30
100218,LittlePidgey4,LittlePidgey4pass123,Littlepidgey,Female,34,Paris,2008-09-30
100238,_Asriel_,_Asriel_pass123,Asriel,Male,,São Paulo,2008-09-30
100336,malipo,malipopass123,Malipo,,,Toronto,2008-09-30
100378,gamefreak2003,gamefreak2003pass123,Gamefreak,,,New York,2008-09-30
100389,DontCryMercy,DontCryMercypass123,Dontcrymercy,Male,,Sydney,2008-09-30
100423,Sima_Yi,Sima_Yipass123,Sima,Male,,London,2008-09-30
100437,JDogg2K8,JDogg2K8pass123,Jdogg,,,São Paulo,2008-09-30
100465,Tensuke,Tensukepass123,Tensuke,Male,,New York,2008-09-30
100490,SuperKillo,SuperKillopass123,Superkillo,,,Tokyo,2008-09-30
100511,CrimsonWingX,CrimsonWingXpass123,Crimsonwingx,Male,39,Tokyo,2008-09-30
100515,1Lizzo22,1Lizzo22pass123,Lizzo,Female,,Paris,2008-10-01
100550,Kaens,Kaenspass123,Kaens,Male,44,Paris,2008-10-01
100611,SadAnimePrincess,SadAnimePrincesspass123,Sadanimeprincess,,,Toronto,2008-10-01
100636,kirawing,kirawingpass123,Kirawing,,,São Paulo,2008-10-01
100712,mofirelizard,mofirelizardpass123,Mofirelizard,,,Tokyo,2008-10-01
100723,sjinza,sjinzapass123,Sjinza,,,Toronto,2008-10-01
100764,Animegurl420,Animegurl420pass123,Animegurl,Female,,Sydney,2008-10-01
100797,Ayori174,Ayori174pass123,Ayori,Female,33,Toronto,2008-10-01
100891,ziroc,zirocpass123,Ziroc,Male,49,London,2008-10-02
100925,Emily_Cross,Emily_Crosspass123,Emily,Female,,Sydney,2008-10-02
100956,SilverSeed,SilverSeedpass123,Silverseed,,,New York,2008-10-02
100994,rejokal,rejokalpass123,Rejokal,Male,36,Berlin,2008-10-02
101040,celiseninsan,celiseninsanpass123,Celiseninsan,,,Sydney,2008-10-02
101056,Kikalishi,Kikalishipass123,Kikalishi,Female,33,London,2008-10-02
101082,Crevetterose,Crevetterosepass123,Crevetterose,Female,36,Berlin,2008-10-02
101093,forbiddenorange,forbiddenorangepass123,Forbiddenorange,,,Sydney,2008-10-02
101100,X_Nagarebashi_X,X_Nagarebashi_Xpass123,X,Female,,Berlin,2008-10-02
101131,Aliera,Alierapass123,Aliera,,,Berlin,2008-10-02
101142,Becent,Becentpass123,Becent,,,São Paulo,2008-10-02
101182,mastafrooper,mastafrooperpass123,Mastafrooper,Male,42,Sydney,2008-10-02
101356,sammie88,sammie88pass123,Sammie,,,Toronto,2008-10-03
101357,emperortopaz,emperortopazpass123,Emperortopaz,Male,38,Tokyo,2008-10-03
101365,Van-Metal,Van-Metalpass123,Van,Male,34,Tokyo,2008-10-03
101374,HaineChan,HaineChanpass123,Hainechan,Female,31,Berlin,2008-10-03
101376,Azumizai,Azumizaipass123,Azumizai,Female,35,Sydney,2008-10-03
101393,karyjac,karyjacpass123,Karyjac,Female,37,Sydney,2008-10-03
101443,duggie_mahn,duggie_mahnpass123,Duggie,Male,32,New York,2008-10-03
101445,Nekokei-chan,Nekokei-chanpass123,Nekokei,Male,35,Toronto,2008-10-03
101466,Sisyphos,Sisyphospass123,Sisyphos,Male,,New York,2008-10-03
101513,Mino-Chan,Mino-Chanpass123,Mino,,,Paris,2008-10-03
101525,ArionaAllant,ArionaAllantpass123,Arionaallant,Male,,São Paulo,2008-10-03
101591,Witeq,Witeqpass123,Witeq,Male,36,New York,2008-10-04
101592,Lolzons,Lolzonspass123,Lolzons,Male,32,Berlin,2008-10-04
101611,PhenixFeather,PhenixFeatherpass123,Phenixfeather,Male,,São Paulo,2008-10-04
101612,conan-lover,conan-loverpass123,Conan,Female,31,Paris,2008-10-04
101675,Armoks,Armokspass123,Armoks,Male,,Sydney,2008-10-04
101678,eter,eterpass123,Eter,Male,43,Sydney,2008-10-04
101813,ajluvsu,ajluvsupass123,Ajluvsu,Male,37,Berlin,2008-10-04
101891,fhs,fhspass123,Fhs,Male,,London,2008-10-04
101896,sorenku,sorenkupass123,Sorenku,Male,,Berlin,2008-10-04
101902,unknownable,unknownablepass123,Unknownable,,,Paris,2008-10-04
101903,jilliesl,jillieslpass123,Jilliesl,Female,35,Sydney,2008-10-04
101948,Lady_Nera,Lady_Nerapass123,Lady,,,Berlin,2008-10-05
101950,wideface,widefacepass123,Wideface,Male,,Sydney,2008-10-05
101955,Trilioh,Triliohpass123,Trilioh,Male,,Paris,2008-10-05
101970,Dinobeast,Dinobeastpass123,Dinobeast,Male,,Tokyo,2008-10-05
101974,Antekk,Antekkpass123,Antekk,Male,34,São Paulo,2008-10-05
101976,Shinxye,Shinxyepass123,Shinxye,Female,39,Sydney,2008-10-05
101979,LaZuRi,LaZuRipass123,Lazuri,Male,33,London,2008-10-05
101982,pipiye,pipiyepass123,Pipiye,,,São Paulo,2008-10-05
101994,gibby1749,gibby1749pass123,Gibby,Male,34,Berlin,2008-10-05
102010,th4m,th4mpass123,Th,Male,32,Tokyo,2008-10-05
102028,ArtificialM,ArtificialMpass123,Artificialm,,,Paris,2008-10-05
102060,Sei_chan,Sei_chanpass123,Sei,Female,,Tokyo,2008-10-05
102095,Ainsel,Ainselpass123,Ainsel,Female,35,Paris,2008-10-05
102139,Star-les,Star-lespass123,Star,Female,,São Paulo,2008-10-05
102146,starynight,starynightpass123,Starynight,Female,,Paris,2008-10-05
102174,Zpectro,Zpectropass123,Zpectro,Male,33,São Paulo,2008-10-05
102184,Raziiel,Raziielpass123,Raziiel,Male,33,Sydney,2008-10-05
102221,Jessman92392,Jessman92392pass123,Jessman,Male,32,Paris,2008-10-05
102237,Anjira,Anjirapass123,Anjira,Female,,Berlin,2008-10-05
102279,Gotenks1990,Gotenks1990pass123,Gotenks,Male,35,Sydney,2008-10-06
102306,SetsunaF,SetsunaFpass123,Setsunaf,Male,33,Toronto,2008-10-06
102322,Nisha101,Nisha101pass123,Nisha,,,New York,2008-10-06
102346,jer01,jer01pass123,Jer,Male,35,Paris,2008-10-06
102393,5618NINgen,5618NINgenpass123,Ningen,Male,,São Paulo,2008-10-06
102439,Nyarlathot,Nyarlathotpass123,Nyarlathot,Male,67,Sydney,2008-10-06
102447,WakiMiko,WakiMikopass123,Wakimiko,Male,36,Toronto,2008-10-06
102470,M0naco,M0nacopass123,M,Male,36,Berlin,2008-10-06
102475,Gallarn,Gallarnpass123,Gallarn,,,London,2008-10-06
102537,flamingricebowl,flamingricebowlpass123,Flamingricebowl,,,Paris,2008-10-06
102539,kotsujin,kotsujinpass123,Kotsujin,Male,31,Tokyo,2008-10-06
102548,Ruby-Black,Ruby-Blackpass123,Ruby,Female,35,Toronto,2008-10-06
102586,AgnostoTheo,AgnostoTheopass123,Agnostotheo,,,Toronto,2008-10-06
102622,almosvagyok,almosvagyokpass123,Almosvagyok,,,São Paulo,2008-10-07
102628,sakurabelle,sakurabellepass123,Sakurabelle,Female,,London,2008-10-07
102638,amiyusoku,amiyusokupass123,Amiyusoku,Female,38,Toronto,2008-10-07
102677,miu-ani,miu-anipass123,Miu,,,Toronto,2008-10-07
102693,Stifo,Stifopass123,Stifo,,,Tokyo,2008-10-07
102736,seramyu,seramyupass123,Seramyu,Female,34,New York,2008-10-07
102759,the_shade,the_shadepass123,The,Male,35,Berlin,2008-10-07
102776,wintry_eve,wintry_evepass123,Wintry,Female,,London,2008-10-07
102825,lousyskater,lousyskaterpass123,Lousyskater,Male,39,Tokyo,2008-10-07
102830,Isher,Isherpass123,Isher,Male,33,Paris,2008-10-07
102929,simo000,simo000pass123,Simo,Male,34,São Paulo,2008-10-08
102946,Nara_Kuromaru,Nara_Kuromarupass123,Nara,Male,32,São Paulo,2008-10-08
103007,Scarlethill,Scarlethillpass123,Scarlethill,Male,34,New York,2008-10-08
103056,NeoTheOne,NeoTheOnepass123,Neotheone,Male,,Tokyo,2008-10-08
103065,Neki-san,Neki-sanpass123,Neki,Male,,Paris,2008-10-08
103069,lamey,lameypass123,Lamey,Male,36,New York,2008-10-08
103072,TeeKay2000,TeeKay2000pass123,Teekay,,,São Paulo,2008-10-08
103074,davismw2000,davismw2000pass123,Davismw,Male,55,São Paulo,2008-10-08
103078,koriyume,koriyumepass123,Koriyume,Female,36,Sydney,2008-10-08
103213,xd3sirable,xd3sirablepass123,Xd,,,Toronto,2008-10-08
103214,Lunabius,Lunabiuspass123,Lunabius,Female,33,London,2008-10-08
103233,ffvs13,ffvs13pass123,Ffvs,,,São Paulo,2008-10-09
103238,JEDARHADEED,JEDARHADEEDpass123,Jedarhadeed,,,New York,2008-10-09
103255,notavail,notavailpass123,Notavail,,,Toronto,2008-10-09
103270,Nyomiko,Nyomikopass123,Nyomiko,Female,34,New York,2008-10-09
103281,vsv993,vsv993pass123,Vsv,Female,31,Berlin,2008-10-09
103303,webofdreams89,webofdreams89pass123,Webofdreams,,,London,2008-10-09
103316,Yagami_Raito8920,Yagami_Raito8920pass123,Yagami,Male,36,Berlin,2008-10-09
103369,Ellymarry,Ellymarrypass123,Ellymarry,Female,32,Paris,2008-10-09
103379,RafiX,RafiXpass123,Rafix,Male,32,Berlin,2008-10-09
103400,becca_,becca_pass123,Becca,Female,40,Toronto,2008-10-09
103415,Nissolainen,Nissolainenpass123,Nissolainen,Male,39,Paris,2008-10-09
103429,TheRedLagoon,TheRedLagoonpass123,Theredlagoon,Male,37,Paris,2008-10-09
103448,JaymeMikey,JaymeMikeypass123,Jaymemikey,Female,32,Paris,2008-10-09
103450,Desabrais,Desabraispass123,Desabrais,Male,33,London,2008-10-09
103523,ola2345,ola2345pass123,Ola,,,Paris,2008-10-10
103526,Fenix-Chan,Fenix-Chanpass123,Fenix,,,Sydney,2008-10-10
103608,BCHelix,BCHelixpass123,Bchelix,,,Sydney,2008-10-10
103637,tweety666,tweety666pass123,Tweety,Male,,Sydney,2008-10-10
103718,little_kodomo,little_kodomopass123,Little,Female,32,São Paulo,2008-10-10
103781,resolution,resolutionpass123,Resolution,,,Berlin,2008-10-10
103797,jytx,jytxpass123,Jytx,Female,,Tokyo,2008-10-10
103838,DeZazza,DeZazzapass123,Dezazza,Male,,Sydney,2008-10-10
103867,Lovss,Lovsspass123,Lovss,,,Sydney,2008-10-11
103912,Likro,Likropass123,Likro,,,Paris,2008-10-11
103962,kido_xplode,kido_xplodepass123,Kido,Male,35,São Paulo,2008-10-11
103971,Kikiox,Kikioxpass123,Kikiox,Female,29,Sydney,2008-10-11
104060,victor877,victor877pass123,Victor,,,Sydney,2008-10-11
104073,Koryu,Koryupass123,Koryu,Male,32,London,2008-10-11
104123,suscripcion,suscripcionpass123,Suscripcion,,,New York,2008-10-11
104159,Kuki1200,Kuki1200pass123,Kuki,,,London,2008-10-12
104170,reikaviour,reikaviourpass123,Reikaviour,Male,34,London,2008-10-12
104172,iker,ikerpass123,Iker,,,Berlin,2008-10-12
104182,Takuya-kun,Takuya-kunpass123,Takuya,Male,38,New York,2008-10-12
104184,Chaos_Inc,Chaos_Incpass123,Chaos,Male,,Toronto,2008-10-12
104191,Elf-A,Elf-Apass123,Elf,Female,37,Paris,2008-10-12
104285,Sumino-chan,Sumino-chanpass123,Sumino,Female,31,Sydney,2008-10-12
104296,Dijann94,Dijann94pass123,Dijann,Female,31,Paris,2008-10-12
104302,Galarion,Galarionpass123,Galarion,,,Tokyo,2008-10-12
104334,SakuraMai,SakuraMaipass123,Sakuramai,Female,32,Berlin,2008-10-12
104340,zetsuei99,zetsuei99pass123,Zetsuei,Female,32,Toronto,2008-10-12
104360,Silvertenshi,Silvertenshipass123,Silvertenshi,,,New York,2008-10-12
104411,kurotan,kurotanpass123,Kurotan,Male,33,London,2008-10-12
104418,ZeTzUbOu,ZeTzUbOupass123,Zetzubou,Male,34,Paris,2008-10-12
104431,Chell3,Chell3pass123,Chell,Female,40,New York,2008-10-12
104454,madhouse008,madhouse008pass123,Madhouse,,,Berlin,2008-10-12
104474,killernoob,killernoobpass123,Killernoob,,,London,2008-10-12
104477,Igloo42,Igloo42pass123,Igloo,Male,34,Berlin,2008-10-12
104538,helboy,helboypass123,Helboy,,,London,2008-10-13
104547,gfd878,gfd878pass123,Gfd,,,São Paulo,2008-10-13
104562,aenseidhe,aenseidhepass123,Aenseidhe,,,London,2008-10-13
104577,Angst,Angstpass123,Angst,Male,33,São Paulo,2008-10-13
104578,aozuki_kei,aozuki_keipass123,Aozuki,Male,33,Paris,2008-10-13
104582,hitorione,hitorionepass123,Hitorione,Male,39,Berlin,2008-10-13
104589,Color,Colorpass123,Color,,15,New York,2008-10-13
104606,Mugenjo,Mugenjopass123,Mugenjo,,,New York,2008-10-13
104627,gurasuz,gurasuzpass123,Gurasuz,,,Paris,2008-10-13
104633,koksik,koksikpass123,Koksik,Male,34,Tokyo,2008-10-13
104640,Akira15219,Akira15219pass123,Akira,Male,35,Tokyo,2008-10-13
104646,digitalized,digitalizedpass123,Digitalized,,,Toronto,2008-10-13
104669,ericpenguin,ericpenguinpass123,Ericpenguin,,,London,2008-10-13
104672,Metamorfoza,Metamorfozapass123,Metamorfoza,,,London,2008-10-13
104680,Ewok68,Ewok68pass123,Ewok,Male,33,New York,2008-10-13
104689,spidersteve69d,spidersteve69dpass123,Spidersteve,Male,42,New York,2008-10-13
104807,LetheMaya,LetheMayapass123,Lethemaya,Female,37,Toronto,2008-10-14
104840,zipyto,zipytopass123,Zipyto,Male,38,Berlin,2008-10-14
104856,Neilll,Neilllpass123,Neilll,Male,,São Paulo,2008-10-14
104883,brittz,brittzpass123,Brittz,Female,36,Sydney,2008-10-14
104921,Shadow_Night,Shadow_Nightpass123,Shadow,Male,35,São Paulo,2008-10-14
104934,mindsoak,mindsoakpass123,Mindsoak,,,Toronto,2008-10-14
104939,VScosplay,VScosplaypass123,Vscosplay,Male,34,Berlin,2008-10-14
104956,EvilMadScientist,EvilMadScientistpass123,Evilmadscientist,Male,31,Berlin,2008-10-14
105017,Xsyia,Xsyiapass123,Xsyia,,,Paris,2008-10-14
105025,sorikai,sorikaipass123,Sorikai,Female,,Paris,2008-10-14
105060,v2sdsf,v2sdsfpass123,V,,,Berlin,2008-10-14
105095,vilkaslt,vilkasltpass123,Vilkaslt,,,Sydney,2008-10-14
105101,nnysama,nnysamapass123,Nnysama,Male,,Berlin,2008-10-14
105106,Masimar,Masimarpass123,Masimar,Male,33,Tokyo,2008-10-14
105115,SWAsp1,SWAsp1pass123,Swasp,Male,,São Paulo,2008-10-15
105139,Rinhz,Rinhzpass123,Rinhz,Male,33,Berlin,2008-10-15
105183,M0116,M0116pass123,M,Male,33,Toronto,2008-10-15
105190,BlueAlias,BlueAliaspass123,Bluealias,,,São Paulo,2008-10-15
105200,bjanli,bjanlipass123,Bjanli,Male,36,Paris,2008-10-15
105256,rustygun01,rustygun01pass123,Rustygun,Male,35,São Paulo,2008-10-15
105273,systemofalpv2,systemofalpv2pass123,Systemofalpv,,,Toronto,2008-10-15
105293,Kattana,Kattanapass123,Kattana,Male,45,São Paulo,2008-10-15
105316,skatm092,skatm092pass123,Skatm,,,Paris,2008-10-15
105327,zhoumilicious,zhoumiliciouspass123,Zhoumilicious,Female,29,London,2008-10-15
105352,sunsetxhorizons,sunsetxhorizonspass123,Sunsetxhorizons,Male,39,Sydney,2008-10-15
105369,ccmariecc,ccmarieccpass123,Ccmariecc,,,London,2008-10-15
105433,kimlian,kimlianpass123,Kimlian,,,New York,2008-10-16
105464,Bookworm86,Bookworm86pass123,Bookworm,Female,,Paris,2008-10-16
105484,warth,warthpass123,Warth,Male,30,Paris,2008-10-16
105506,shadowslayer666,shadowslayer666pass123,Shadowslayer,,,Berlin,2008-10-16
105513,Blackthawne,Blackthawnepass123,Blackthawne,,,New York,2008-10-16
105516,Rufus__,Rufus__pass123,Rufus,Male,,London,2008-10-16
105585,Przemos19,Przemos19pass123,Przemos,Male,40,São Paulo,2008-10-16
105605,heroizumi,heroizumipass123,Heroizumi,Male,36,Tokyo,2008-10-16
105629,fraz2kuk,fraz2kukpass123,Fraz,,,London,2008-10-16
105671,Temishi,Temishipass123,Temishi,,,Toronto,2008-10-16
105672,nulakoh,nulakohpass123,Nulakoh,,,London,2008-10-16
105713,jimmyliu1,jimmyliu1pass123,Jimmyliu,Male,31,Tokyo,2008-10-16
105736,Yavana,Yavanapass123,Yavana,,,Tokyo,2008-10-16
105741,tentril,tentrilpass123,Tentril,,,Toronto,2008-10-16
105791,anime_shinigami,anime_shinigamipass123,Anime,Female,32,São Paulo,2008-10-17
105829,georgejliu,georgejliupass123,Georgejliu,,,Toronto,2008-10-17
105838,darkwol,darkwolpass123,Darkwol,,,São Paulo,2008-10-17
105859,Full,Fullpass123,Full,,,Tokyo,2008-10-17
105866,Valathar,Valatharpass123,Valathar,,,Toronto,2008-10-17
105871,GTkeoni,GTkeonipass123,Gtkeoni,Male,39,London,2008-10-17
105934,Ethy,Ethypass123,Ethy,Male,,São Paulo,2008-10-17
105940,Minirox,Miniroxpass123,Minirox,Male,,Paris,2008-10-17
105986,YamiNoTenshiKV,YamiNoTenshiKVpass123,Yaminotenshikv,,,Berlin,2008-10-17
105997,Relient,Relientpass123,Relient,Female,40,Berlin,2008-10-17
106037,virgo31,virgo31pass123,Virgo,,,Toronto,2008-10-17
106055,antik_bakkal,antik_bakkalpass123,Antik,,,Paris,2008-10-17
106064,bassist,bassistpass123,Bassist,Male,31,New York,2008-10-17
106086,notspecified,notspecifiedpass123,Notspecified,,,Tokyo,2008-10-18
106096,felixsin,felixsinpass123,Felixsin,,,London,2008-10-18
106123,lastq,lastqpass123,Lastq,Male,,London,2008-10-18
106134,Obscure_Master,Obscure_Masterpass123,Obscure,,,Tokyo,2008-10-18
106151,rickyjrbd,rickyjrbdpass123,Rickyjrbd,Male,36,Berlin,2008-10-18
106197,jonelle666,jonelle666pass123,Jonelle,,,Toronto,2008-10-18
106253,superjean4,superjean4pass123,Superjean,,,Paris,2008-10-18
106259,tomtw,tomtwpass123,Tomtw,,,Paris,2008-10-18
106294,Smartestchild53,Smartestchild53pass123,Smartestchild,,,London,2008-10-18
106313,ChronicZetsubou,ChronicZetsuboupass123,Chroniczetsubou,Male,35,Paris,2008-10-18
106350,heraodiada25,heraodiada25pass123,Heraodiada,,34,Paris,2008-10-18
106359,DemiShinigami,DemiShinigamipass123,Demishinigami,,,London,2008-10-18
106372,TMultimate,TMultimatepass123,Tmultimate,,,Paris,2008-10-18
106381,suicidalbanrney,suicidalbanrneypass123,Suicidalbanrney,Female,29,Tokyo,2008-10-19
106429,daniema,daniemapass123,Daniema,,,Paris,2008-10-19
106449,Agahime,Agahimepass123,Agahime,Female,30,Tokyo,2008-10-19
106477,Artemon,Artemonpass123,Artemon,Female,30,Berlin,2008-10-19
106485,gurogami,gurogamipass123,Gurogami,Female,,Tokyo,2008-10-19
106487,Lacos,Lacospass123,Lacos,Male,32,London,2008-10-19
106530,Maicro,Maicropass123,Maicro,Male,,São Paulo,2008-10-19
106552,ElecEXE,ElecEXEpass123,Elecexe,,,São Paulo,2008-10-19
106673,Godie,Godiepass123,Godie,,,Toronto,2008-10-19
106689,Zoroku,Zorokupass123,Zoroku,Male,35,Toronto,2008-10-19
106693,JGTheWise,JGTheWisepass123,Jgthewise,Male,37,Sydney,2008-10-19
106764,matias067,matias067pass123,Matias,,37,Berlin,2008-10-20
106788,Yanato,Yanatopass123,Yanato,Male,33,São Paulo,2008-10-20
106795,kayoriCL,kayoriCLpass123,Kayoricl,,,London,2008-10-20
106816,tripknob,tripknobpass123,Tripknob,Female,42,São Paulo,2008-10-20
106838,bobfink123,bobfink123pass123,Bobfink,,,Berlin,2008-10-20
106883,Lifey,Lifeypass123,Lifey,Male,37,Tokyo,2008-10-20
106980,anime4ronin,anime4roninpass123,Anime,Male,22,Sydney,2008-10-21
106993,Kagura_Chan,Kagura_Chanpass123,Kagura,Female,31,Tokyo,2008-10-21
107042,SoreScar,SoreScarpass123,Sorescar,Male,31,São Paulo,2008-10-21
107073,Ayatanne,Ayatannepass123,Ayatanne,,,São Paulo,2008-10-21
107128,newport,newportpass123,Newport,,,São Paulo,2008-10-21
107131,Nibji,Nibjipass123,Nibji,Male,36,São Paulo,2008-10-21
107141,hellguard777,hellguard777pass123,Hellguard,,,Toronto,2008-10-21
107175,fluffy8voldy,fluffy8voldypass123,Fluffy,,,London,2008-10-21
107181,NattyCdb,NattyCdbpass123,Nattycdb,Female,31,Sydney,2008-10-21
107251,crimotaku,crimotakupass123,Crimotaku,Male,42,São Paulo,2008-10-21
107268,tin_min,tin_minpass123,Tin,Female,34,London,2008-10-22
107291,kalasin79,kalasin79pass123,Kalasin,,,Berlin,2008-10-22
107306,snowhyuga,snowhyugapass123,Snowhyuga,,,London,2008-10-22
107345,Random_Magikarp,Random_Magikarppass123,Random,Male,33,São Paulo,2008-10-22
107347,Sonvalt,Sonvaltpass123,Sonvalt,Male,40,London,2008-10-22
107349,Deedlit,Deedlitpass123,Deedlit,Female,34,Tokyo,2008-10-22
107413,Necrocide,Necrocidepass123,Necrocide,Male,,Paris,2008-10-22
107445,salohcin404,salohcin404pass123,Salohcin,Male,32,Toronto,2008-10-22
107460,panda1116,panda1116pass123,Panda,,,São Paulo,2008-10-22
107497,Bjay,Bjaypass123,Bjay,,,Tokyo,2008-10-22
107549,Filadeus,Filadeuspass123,Filadeus,Male,,Tokyo,2008-10-23
107552,asdgwqvcbg,asdgwqvcbgpass123,Asdgwqvcbg,,,São Paulo,2008-10-23
107561,Excequel,Excequelpass123,Excequel,Male,34,Tokyo,2008-10-23
107582,Yuelon,Yuelonpass123,Yuelon,Male,,São Paulo,2008-10-23
107583,Rurushu88,Rurushu88pass123,Rurushu,Male,36,Sydney,2008-10-23
107585,geogaia,geogaiapass123,Geogaia,,,Tokyo,2008-10-23
107738,Over9000figs,Over9000figspass123,Over,Male,34,New York,2008-10-23
107787,jeff744,jeff744pass123,Jeff,,,Berlin,2008-10-23
107799,Panzerboy26,Panzerboy26pass123,Panzerboy,Male,39,Paris,2008-10-23
107802,consiglierea,consigliereapass123,Consiglierea,,,London,2008-10-23
107821,sacred_essence,sacred_essencepass123,Sacred,Female,95,New York,2008-10-23
107869,jeric_jb,jeric_jbpass123,Jeric,,,Sydney,2008-10-24
107879,B_Lank,B_Lankpass123,B,,,London,2008-10-24
107893,Sikanda,Sikandapass123,Sikanda,Male,37,Sydney,2008-10-24
107894,YukiH,YukiHpass123,Yukih,,,New York,2008-10-24
107901,Clairvoyance,Clairvoyancepass123,Clairvoyance,Female,34,Tokyo,2008-10-24
107905,riuuzaki,riuuzakipass123,Riuuzaki,Male,33,Sydney,2008-10-24
107914,thefenix-x,thefenix-xpass123,Thefenix,,,Berlin,2008-10-24
107928,Neoscream,Neoscreampass123,Neoscream,Male,43,Sydney,2008-10-24
107944,kneekey,kneekeypass123,Kneekey,Female,,Berlin,2008-10-24
108033,RaikaSTi,RaikaSTipass123,Raikasti,,,Tokyo,2008-10-24
108057,holland6045,holland6045pass123,Holland,,,London,2008-10-24
108062,Jinzal,Jinzalpass123,Jinzal,Male,,Sydney,2008-10-24
108067,amit_s1230,amit_s1230pass123,Amit,Female,,Toronto,2008-10-24
108071,Aeolun,Aeolunpass123,Aeolun,Male,37,London,2008-10-24
108085,ascendantt,ascendanttpass123,Ascendantt,,,São Paulo,2008-10-24
108090,sarah2510,sarah2510pass123,Sarah,Female,,New York,2008-10-24
108098,kenarok,kenarokpass123,Kenarok,,,Paris,2008-10-24
108105,SapphireChan,SapphireChanpass123,Sapphirechan,Female,,Toronto,2008-10-24
108159,Anderoak,Anderoakpass123,Anderoak,,,São Paulo,2008-10-24
108173,yachia,yachiapass123,Yachia,,,New York,2008-10-24
108284,Cygnus428,Cygnus428pass123,Cygnus,Male,34,Toronto,2008-10-25
108395,Umitashin,Umitashinpass123,Umitashin,,,Toronto,2008-10-25
108427,Ramou,Ramoupass123,Ramou,Male,40,Berlin,2008-10-25
108434,Dark-Noir,Dark-Noirpass123,Dark,Male,,Sydney,2008-10-25
108447,egret,egretpass123,Egret,,,Toronto,2008-10-25
108452,ulqiorra_75,ulqiorra_75pass123,Ulqiorra,Male,,São Paulo,2008-10-25
108490,Senna_Rettop,Senna_Rettoppass123,Senna,,,Berlin,2008-10-25
108503,BlackDragon59,BlackDragon59pass123,Blackdragon,Male,37,Tokyo,2008-10-25
108522,laydapurple,laydapurplepass123,Laydapurple,,,Tokyo,2008-10-25
108540,dlochinski,dlochinskipass123,Dlochinski,Male,36,Paris,2008-10-26
108567,blackladyangel,blackladyangelpass123,Blackladyangel,,,Toronto,2008-10-26
108609,crimen2,crimen2pass123,Crimen,,,Paris,2008-10-26
108643,Marukea,Marukeapass123,Marukea,,,London,2008-10-26
108676,Ruinie,Ruiniepass123,Ruinie,,37,São Paulo,2008-10-26
108683,Otrin,Otrinpass123,Otrin,Male,35,São Paulo,2008-10-26
108686,Minicakes,Minicakespass123,Minicakes,,,Toronto,2008-10-26
108728,neko3usagi,neko3usagipass123,Neko,Female,,Toronto,2008-10-26
108761,javi1001,javi1001pass123,Javi,Male,32,New York,2008-10-26
108784,redstars,redstarspass123,Redstars,Female,36,Sydney,2008-10-26
108801,earth07,earth07pass123,Earth,,,London,2008-10-26
108919,ylionel,ylionelpass123,Ylionel,Male,40,São Paulo,2008-10-27
108927,deviousj,deviousjpass123,Deviousj,Male,,Toronto,2008-10-27
108931,Milliuminator,Milliuminatorpass123,Milliuminator,Male,,London,2008-10-27
108988,LancelotAlbion,LancelotAlbionpass123,Lancelotalbion,Male,33,London,2008-10-27
108996,Enoia,Enoiapass123,Enoia,Male,46,São Paulo,2008-10-27
109080,freeone3000,freeone3000pass123,Freeone,,,Tokyo,2008-10-27
109095,Nalime,Nalimepass123,Nalime,Female,33,Berlin,2008-10-27
109142,F_Ren_Brahma,F_Ren_Brahmapass123,F,,,Sydney,2008-10-28
109158,siempre,siemprepass123,Siempre,,,Tokyo,2008-10-28
109174,izee_yasha,izee_yashapass123,Izee,,,Toronto,2008-10-28
